"S100QC..Test Condition","S100QC..Run","S100QC..Barcode","S100QC..Row"
"Control","a","710421621",1.0
"Control","a","710421622",1.0
"Control","a","710421623",1.0
"Control","b","710421705",1.0
"Control","b","710421707",1.0
"Control","b","710421708",1.0
"T1","a","710421621",2.0
"T1","a","710421622",2.0
"T1","a","710421623",2.0
"T1","b","710421705",2.0
"T1","b","710421707",2.0
"T1","b","710421708",2.0
"T2","a","710421621",3.0
"T2","a","710421622",3.0
"T2","a","710421623",3.0
"T2","b","710421705",3.0
"T2","b","710421707",3.0
"T2","b","710421708",3.0
"T3","a","710421621",4.0
"T3","a","710421622",4.0
"T3","a","710421623",4.0
"T3","b","710421705",4.0
"T3","b","710421707",4.0
"T3","b","710421708",4.0
